strain	replicate	value
schp677	1	20661
schp678	1	21437
schp675	1	21323
schp676	1	20668
schp687	1	20995
schp688	1	20927
schp679	1	20840
schp680	1	20902
schp681	1	20659
schp683	1	25406
schp684	1	21261
schp685	1	24049
schp686	1	21560
schp689	1	24399
schp690	1	20944
schp677	2	21796
schp678	2	21656
schp674	2	21033
schp675	2	21669
schp676	2	21219
schp687	2	21141
schp688	2	20945
schp679	2	22135
schp680	2	21091
schp681	2	20974
schp683	2	23366
schp684	2	21318
schp685	2	26104
schp686	2	22028
schp689	2	24932
schp690	2	20881
schp677	3	21161
schp678	3	20258
schp675	3	20492
schp676	3	20511
schp687	3	21373
schp688	3	21141
schp679	3	19320
schp680	3	18876
schp681	3	19769
schp683	3	23438
schp684	3	20607
schp685	3	22501
schp686	3	21314
schp689	3	23007
schp690	3	20063
schp677	4	20032
schp678	4	19170
schp674	4	19599
schp675	4	19368
schp676	4	19600
schp687	4	20382
schp688	4	20783
schp679	4	17329
schp680	4	17485
schp681	4	21130
schp683	4	23256
schp684	4	19905
schp685	4	21539
schp686	4	20554
schp689	4	19075
schp690	4	20773
schp677	5	19370
schp675	5	19336
schp676	5	19118
schp687	5	20408
schp688	5	19977
schp680	5	18530
schp681	5	18603
schp684	5	19833
schp685	5	20587
schp686	5	20398
schp689	5	21835
schp690	5	20307
